,rating,reviews
10,"[('5', '0'), ('4', '3'), ('3', '4'), ('2', '1'), ('1', '4')]",[]
11,"[('5', '93'), ('4', '29'), ('3', '14'), ('2', '10'), ('1', '12')]","[('787966596', ' May 2021', 'Had a day out with my daughter at Canary Wharf.  Service was at a snails pace and not tentative.  I prompted the waiter to take the order.  Ended up waiting 90 minutes for the pizza after the order was taken.  Ruined our afternoon.  There were...', 1, None), ('786846593', ' April 2021', 'I’ve been yesterday at the restaurant for a dinner the pizza was outstanding and waiter was really helpful and polite.\nWe definitely are going to come back!!', 5, None), ('786519448', ' April 2021', 'There are few things more decadent than a Quattro Formaggio (Italian for 4 Cheese Pizza) but if you grace this establishment you may order something truly remarkable.\n\nThe Double Quattro Formaggio or 8 cheese pizza offers an increase of 200% the amount of cheese! +...', 5, None), ('786509491', ' April 2021', 'Went to meet friends as we heard the pizza was good here and boy did it deliver! The dough quality blew my mind 🤯 so fresh, so tasty, so good. The service was insanely good too, so we had a great night. I even ordered...', 5, None), ('786199823', ' April 2021', 'Ordered from them online, and it was terrible. Showed up without 1/3 pizzas, and the two that came were stone cold. To top it off, the ordered dippers didn’t arrive either.\n\nMore than a fail.\n\nUsually love their food- so it’s probably just this branch.', 2, None), ('782753429', ' February 2021', 'So we were given the best service and Danny (General Manager) at Pizza Pilgrims in East India Quays went above and beyond to make sure our delivery experience was top notch. \n\nThe pizzas were amazing (shoutout to the chefs!!!)\nWe’ll be returning as loyal customers.', 5, None), ('782176096', ' January 2021', 'We ordered a takeaway from these guys on Friday, we weren’t expecting anything special, after all it’s only takeaway! But BOY we’re we surprised... the whole order was excellent value for money, the pizzas all looked and tasted delicious! The N’duja dipper was to die...', 5, None), ('779269195', ' December 2020', 'Had a great night, the service was amazing Emma was very friendly and made us feel right at home, will definitely be coming back here again thank you for the great service', 5, None), ('779263206', ' December 2020', 'Emma was a great personality friendly and helpful food amazing would 100% come back here. Pizza was great one of the best I have had', 5, None), ('779061342', ' December 2020', 'We don’t do service in this country very well. But Emma is an exception. She’s friendly, warm....resolved a problem with my pizza disappearing quickly and with apology and grace. What a star.', 5, None)]"
12,"[('5', '142'), ('4', '73'), ('3', '46'), ('2', '25'), ('1', '48')]","[('788819988', ' May 2021', 'We were looking for a restaurant with outdoor seating during this lockdown and were recommended to this restaurant. We were impressed by the food and service. We liked it so much that we went again in two weeks and enjoyed everything. Will try the other...', 5, None), ('787191506', ' April 2021', ""For three weeks I attempted to book a table for myself and my two children. I was repeatedly told 'you don't have to book, we are not taking bookings for the vast majority of tables, we only reserve very few tables, and the rest are..."", 1, '2'), ('779294936', ' December 2020', '2nd from last night before the latest tier three and we were lucky to get a table. Having eaten here before I was looking forward to this but left disappointed. The service was friendly & good given that the waiter was been rushed around by...', 3, '3'), ('776808529', ' November 2020', ""We were desperately looking for a place to have a meal on the last day before lockdown 2.0 and were turned away by all the restaurants as we didn't have a reservation. We almost gave up and we decided to ask here. The gentleman at..."", 5, None), ('776304229', ' November 2020', 'Amazing in all aspects as always. This time I was served by a gentlemen called Alessandro and his service was very good. I loved the food and the atmosphere, I will definitely be coming back!', 5, None), ('776291984', ' October 2020', 'Excellent food (real carbonara with eggs and no cream!)and service. Very nice location in Chelsea. I will definitely go back.', 5, None), ('776289354', ' November 2020', 'Amazing Italian pizza!\nWarm welcome greeting at the door on the rainy evening, lovely waiter, best evening ever', 5, None), ('776250681', ' November 2020', ""terrible service, the waiter dropped the bottle on the table and everywhere there were small fragments of glass on the plates on the table, she wiped the table, but the plates were not changed, they brought us pizza and didn't cut the pizza ,they brought..."", 1, '1'), ('775977955', ' October 2020', 'It was my second time here and I just have nothing to say, the customer service was very good and the waiter ( Yassine ) was very friendly and welcoming to both of us. As I was enjoying the night with my friend. I definitely...', 5, None), ('775977939', ' October 2020', 'The best Italian food in London and customer service !!!!\nI’ve been on this place many times and made in italy never let me go down with the experience, the food was absolutely incredible , we have the beautiful and tasty burata with cherry tomatos...', 5, '1')]"
13,"[('5', '3'), ('4', '0'), ('3', '0'), ('2', '0'), ('1', '0')]","[('505363852', ' July 2017', ""Lovely Cafe with relaxing atmosphere, all gluten-free. Loved our breakfast! Theresa, the owner, welcomed us super-friendly! We'll go again for sure - still much to try!"", 5, None), ('488993245', ' May 2017', 'I cannot share the other person\'s critisicm on the prices, I find the Lykke rather cheap but super innovative, sweet and lovely!\nIf you look atother places where you pay millions for an acai bowl, you will get the same ""instagrammable"" and nothing but delicious...', 5, None), ('483927410', ' May 2017', ""I absolutely loved the Lykke Café. It's a light and open design wth friendly and educated staff about the food they serve.\nThe restaurant / café has a good selection of drinks, food and coffee. It's easy to get to, just a few minutes from..."", 5, None)]"
14,"[('5', '2'), ('4', '0'), ('3', '0'), ('2', '0'), ('1', '0')]","[('743544232', ' February 2020', 'Best paella we tried after a week in Madrid! Seafood was awesome, recommended wine was good. Staff was fast and friendly - all round good experience', 5, None), ('699561165', ' August 2019', 'Nice place, amazing food, good prices and excellent service ! We ate a sort of paella with lobster, gazpacho and mussels and everything was very agreeable. Thank you', 5, None)]"
15,"[('5', '10'), ('4', '13'), ('3', '4'), ('2', '2'), ('1', '7')]","[('776610309', ' November 2020', 'Ordered two muffins which cost €2.60 each. They were terrible dry stale cakes with no taste ☹️ would not recommend', 1, '2'), ('741722430', ' January 2020', 'This place is honestly the dirtiest place I have ever eaten in. My shoes stuck to the floor, the legs of the chairs and kick boards were black with dirt, the menus were filthy. Food is expensive for what it is. There is absolutely no...', 1, '1'), ('738023456', ' January 2020', 'I went there alone for quick brunch. Food was amazing, and the view from my table to the park cant be better. The lovely waitress served me the best latte i ever had in Dublin. At the end i stayed longer then planned since i...', 5, None), ('661084666', ' March 2019', 'table chairs and floors are all dirty and worst of all the menu cards are dirty greasy and black dirt stains are clearly visible in bold font.', 3, None), ('659127599', ' March 2019', 'The place is absolutely filthy from the menus we where giving to the kick boards and chairs. Coming from a catering background I’m surprised the place hasn’t been closed down by health inspectors! Staff really nice but there’s a reason why they don’t have lights...', 1, '1'), ('568972394', ' March 2018', 'Very dirty restaurant, dust everywhere, no ventilation, smell of frying burgers in air, not experienced service, burger had no sauce on it, we had to ask for some ketchup and mayonnaise and prepare it ourselves.', 3, '2'), ('561500579', ' February 2018', 'When I entered the cafe, a dense oil smell greeted me and I was not sure whether sit or leave, but glad I stayed. I ordered a tuna sweet corn sandwich & latte. Coffee and sandwich were good & staff was attentive.\nThe only problem:...', 4, None), ('559299117', ' January 2018', 'Very nice breakfast here and very friendly staff. Would recommend. I went here for brunch, I had the breakfast and my friends had a\nCurry, both were really tasty. Fast service and good prices. I will def be back.', 4, '1'), ('559023965', ' February 2018', 'Went here today with friends to use a voucher. After presenting the voucher to the waitress the owner/manager arrived at our table stating ""you were here before you can\'t use a voucher"". The voucher belonged to a fellow diner who accompanied me on my previous...', 1, '2'), ('544377589', ' November 2017', 'Went here with friends recently, breakfast is lovely and staff very friendly, will def go back.  My friends had curry and said it was delicious, they have a loyalty card too which is handy.  They have a nice selection on their menu too.', 4, '2')]"
16,"[('5', '1'), ('4', '0'), ('3', '0'), ('2', '0'), ('1', '0')]","[('474883330', ' March 2017', ""This place sells Sushi as Street Food. It is not a real restaurant but more of a Take Away place. The place doesn't look like much from the outside, but the suhsi is excellent, the best I have tried in Berlin. Prices are also very..."", 5, None)]"
17,"[('5', '6'), ('4', '0'), ('3', '0'), ('2', '0'), ('1', '1')]","[('463546505', ' February 2017', 'popped into this great little bar while on our gin tour.\nwell, what a great place, the gin cocktails were excellent and the atmosphere was great too.\n didnt get to try the food but will return im sure at some point and will defo try...', 5, None), ('433242304', ' October 2016', 'One of the bars across our Gin Tour with @ginjourney \n\nI would come back to this bar again with friends or my wife as it was that good, the drinks were fantastic the settings and atmosphere amazing and the staff great fun and friendly.\n\nAll...', 5, None), ('372702052', ' May 2016', 'Visited this evening after a great experience at Hotbox above, as we noticed 46 & Mercy had a deal with Drinki (app where you get a free drink every day). Some bars are great with Drinki, others are a bit snobby or complacent. Sadly this...', 1, '2'), ('360414481', ' March 2016', '2nd stop on our East london gin tour sampled 2 different BeefeaBeefeater one in a house cocktail Mumford & sons. \nSmoked Pork Ribs were excellent. Would definstley go back', 5, None), ('342450815', ' December 2015', 'Great vibe and Amazing cocktails, always a friendly service willing to discuss their drinks with you and offer their recommendations', 5, None), ('339873148', ' August 2015', 'The bartender knows his business: He can tell you anything about any cocktail and watching his skills while making a drink is a delight. Super friendly staff and very pleasant atmosphere.', 5, None), ('319407153', ' October 2015', 'Had a fantastic night after some rude service at other venues. Would recommend the staff and the Dj and atmosphere! Ask for Rui for great service and cocktails (and hand drawn maps!)', 5, '2')]"
18,"[('5', '7'), ('4', '9'), ('3', '1'), ('2', '2'), ('1', '0')]","[('760536829', ' July 2020', 'Had dinner here, based on the reviews of TripAdvisor.\nGreat food, original tastes, very good combinations.\nThe only drawback : the kitchen closed at 9pm...', 4, None), ('632497036', ' November 2018', 'I spent just one night here.  The room was very pleasant if on the small side.  The bathroom in particular was claustrophobic but that is not uncommon in Europe.  The location is good, being close to lots of restaurants and Friedrichstrasse.  Price is not unreasonable....', 4, None), ('625084116', ' October 2018', 'The different between this place than any other restaurant in this Street is the high standard of food and it was a culinary journey to eat here. They make a great effort to prepare and presented the food, for some people might be small portions...', 4, None), ('621965006', ' October 2018', 'Really enjoyed the dinner myself and my partner had here. From entree to mains and dessert all meals were great. The best meal of the night may have been the spinach soup which was excellent. The moscatel and silvaner wine was also a highlight.', 5, None), ('579776630', ' May 2018', 'We visited Berlin with friends and booked at table at ALvis for dinner at 21:30 in the evening, and enjoyed a delicious 3-course dinner at a very reasonable price. The waiter was skilled and humorous, and we experienced only great service. It was during the...', 5, None), ('560189261', ' February 2018', 'We had dinner at the Albrechtshof restaurant, connected to the hotel of the same name. While it was very quiet when we were there, the restaurant was very nice. A bit stuffy atmosphere perhaps as the two gentlemen serving us where efficient and correct, but...', 4, None), ('513758273', ' August 2017', ""We stayed in Berlin 5 days and 4 night, sleeping at this hotel. It was a very good choice, its position is perfect if you want to visit museums and palaces: it is at a not very long walk from the museum's island and each..."", 4, None), ('504009871', ' July 2017', 'When you reach a point in your life of visiting several hundreds of restaurants around the world and you find a place like Alvis, you feel the urge to meet the owner of the restaurant to share some insights. \nAlvis is a nice cute place...', 2, None), ('484962095', ' May 2017', ""Monday to Friday they serve A special business lunch for €8,50.\nToday it was spinich soup followed by spareribs. Absolutely great. Nice outdoor garden, don't miss lunch here when in Mitte."", 4, None), ('463394790', ' February 2017', 'Spectacular presentation. My dinner, called a lasagna .... was actually a beautiful salmon on top of large flat noodle bed with elegantly cut zucchini (I think ) and other vegetables (cauliflower, pea pod,...) with a special caviar +..., every morsel was a delight. I ordered...', 5, None)]"
19,"[('5', '1'), ('4', '1'), ('3', '0'), ('2', '1'), ('1', '1')]","[('670605266', ' April 2019', 'Very good authentic Chinese food, mostly from Taiwan. Their ""raviolis poêlés"" (guo tieh) are fantastic, just as their ""riz trois délices"", the wonton soup, pork Peking style, beef with black beans, a few good shrimp dishes, etc. Exceptionally good value for money. Very good coffee....', 5, '1'), ('639637743', ' December 2018', ""The restaurant is managed exclusively by a charming couple from Taiwan. The food is really good, and they are perfectionists (when an ingredient is not available, they just don't make that dish). It is (unfortunately for the owners) situated on a back street. Simple decoration,..."", 4, None), ('363695293', ' April 2016', 'Very poor service, food and atmosphere. first I was impressed by the amount of empty tables and the speed of service, then when I received my fried noodles with vegetables, it looked more like a onion saute with noodles marinated in a pond of oil...', 1, '4'), ('298957470', ' August 2015', 'After seeing that this restaurant was mentioned on the site of Michelin. We had great hopes of this place. What baffled me was that when making the reservation the person on the other end of the line told me: that if we where 15 minutes...', 2, None)]"
